,Student,Attendance - Final Exam Rebuttal 67% or more (7914860),Attendance (7965941),Prerequisite / Financial Aid Quiz (7914812),EC: W02-Video-Content-Quiz-Spring-2023 (7914857),EC: W03-Video-Content-Quiz-Spring-2023 (7914771),EC: W04-Video-Content-Quiz-Spring-2023 (7914852),EC: W05-Video-Content-Quiz-Spring-2023 (7914851),EC: W06-Video-Content-Quiz-Spring-2023 (7914760),EC Total to Ex1 (7914871),EC: W07-Video-Content-Quiz-Spring-2023 (7914849),EC: W09-Video-Content-Quiz (7914855),EC: W11-Video-Content-Quiz-Spring-2023 (7914772),EC: W12-Video-Content-Quiz-Spring-2023 (7914759),EC Total to Ex2 (7914872),EC: W13-Video-Content-Quiz-Spring-2023 (7914757),EC: W08-Video-Content-Quiz-Spring-2023 (7914821),EC Total to Final (7914873),FYI - not an assignment: Intel Overclocking video (7914875),Quiz 3 Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7914754),Final Exam-s Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7914775),EC: W14-Video-Content-Quiz-Spring-2023 (7970796),EC: W15-Video-Content-Quiz-Spring-2023 (7978678),Midterm Exam 1 Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7914847),Midterm Exam 2-s Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7914795),EC-Bonus-Project (7914868),Attendance - Quiz 1 rebuttal (7940848),Attendance - Midterm 1 rebuttal (7914861),Attendance - Quiz 2 rebuttal (7914863),Attendance - Midterm 2 Rebuttal (7914862),Attendance - Quiz 3 Rebuttal (7974489),Midterm Exam 1 + EC (7914876),Midterm Exam 2 + EC (7914877),Final-s+Video-EC+Lab-EC (7914874),Quiz 1- Requires Respondus LockDown Browser (7914782),Quiz 2 - Requires Respondus LockDown Browser (7934760),Quiz 3 with Curve (7914884),Project #1 Score (7914880),Collaborative Activity #1 Score (7914864),Project #2 Score (7914881),Collaborative Activity #2 Score (7914865),Project 3 (7914882),Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Component Scores (instead weighted in corresponding category after EC added) Current Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Current Score,Component Scores (instead weighted in corresponding category after EC added) Final Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Final Score,(Midterm Exam 1)+EC Category Current Score,(Midterm Exam 1)+EC Category Unposted Current Score,(Midterm Exam 1)+EC Category Final Score,(Midterm Exam 1)+EC Category Unposted Final Score,(Midterm Exam 2)+EC Category Current Score,(Midterm Exam 2)+EC Category Unposted Current Score,(Midterm Exam 2)+EC Category Final Score,(Midterm Exam 2)+EC Category Unposted Final Score,(Final Exam)+EC Category Current Score,(Final Exam)+EC Category Unposted Current Score,(Final Exam)+EC Category Final Score,(Final Exam)+EC Category Unposted Final Score,Quiz1-Category Current Score,Quiz1-Category Unposted Current Score,Quiz1-Category Final Score,Quiz1-Category Unposted Final Score,Quiz2-Category Current Score,Quiz2-Category Unposted Current Score,Quiz2-Category Final Score,Quiz2-Category Unposted Final Score,Quiz3-Category Current Score,Quiz3-Category Unposted Current Score,Quiz3-Category Final Score,Quiz3-Category Unposted Final Score,Project 1 Materials Overall Category Current Score,Project 1 Materials Overall Category Unposted Current Score,Project 1 Materials Overall Category Final Score,Project 1 Materials Overall Category Unposted Final Score,Project 1 Collaborative Category Current Score,Project 1 Collaborative Category Unposted Current Score,Project 1 Collaborative Category Final Score,Project 1 Collaborative Category Unposted Final Score,Project 2 Materials Overall Category Current Score,Project 2 Materials Overall Category Unposted Current Score,Project 2 Materials Overall Category Final Score,Project 2 Materials Overall Category Unposted Final Score,Project 2 Collaborative Activity Category Current Score,Project 2 Collaborative Activity Category Unposted Current Score,Project 2 Collaborative Activity Category Final Score,Project 2 Collaborative Activity Category Unposted Final Score,Project 3 Materials Overall Category Current Score,Project 3 Materials Overall Category Unposted Current Score,Project 3 Materials Overall Category Final Score,Project 3 Materials Overall Category Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
40,39,79.72,77.78,6,0.5,0,1,0,1,2.5,0,1.5,0.33,1,3.83,1,2,13,,13.67,49.67,0,1,90.67,78.01,10,79.17,66.67,100,75,100,101.17,90.83,62.67,23,20,16.67,92.31,137.5,95.86,137.5,100.6,71.67,71.67,71.67,71.67,84.44,84.44,84.44,84.44,101.17,101.17,101.17,101.17,90.83,90.83,90.83,90.83,62.67,62.67,62.67,62.67,92,92,92,92,80,80,80,80,66.68,66.68,66.68,66.68,92.31,92.31,92.31,92.31,137.5,137.5,137.5,137.5,95.86,95.86,95.86,95.86,137.5,137.5,137.5,137.5,100.6,100.6,100.6,100.6,88.58,88.58,88.58,88.58
41,40,76.39,77.78,5,0,1,1,0,0,2,0,0.6,0,0,1.6,1,1,13,,6.67,36,1,1,59.67,48.43,10,54.17,100,50,100,100,69.67,67.53,49,15,12,9.67,93.02,37.5,88.79,87.5,90.3,48,48,48,48,73.56,73.56,73.56,73.56,69.67,69.67,69.67,69.67,67.53,67.53,67.53,67.53,49,49,49,49,60,60,60,60,48,48,48,48,38.68,38.68,38.68,38.68,93.02,93.02,93.02,93.02,37.5,37.5,37.5,37.5,88.79,88.79,88.79,88.79,87.5,87.5,87.5,87.5,90.3,90.3,90.3,90.3,66.12,66.12,66.12,66.12
42,41,88.89,77.78,4,0,0,1,0,0,1,1,1.75,1,0,5.75,0,2,11,,9.07,70.67,1,0,74.17,62.5,10,91.67,100,100,75,50,83.17,77.24,81.67,24,20.5,12.07,97.7,100,86.94,150,100.6,53.75,53.75,53.75,53.75,79.34,79.34,79.34,79.34,83.17,83.17,83.17,83.17,77.24,77.24,77.24,77.24,81.67,81.67,81.67,81.67,96,96,96,96,82,82,82,82,48.28,48.28,48.28,48.28,97.7,97.7,97.7,97.7,100,100,100,100,86.94,86.94,86.94,86.94,150,150,150,150,100.6,100.6,100.6,100.6,84.7,84.7,84.7,84.7
43,42,92.5,100,4,0.5,1,0,0,0,1.5,0,0,1,0,3,0,2,11,,14.4,63,1,0,84,71.93,10,87.5,100,75,100,100,93.5,83.93,74,19,23.5,17.4,94.96,150,90.02,137.5,100.6,42.5,42.5,42.5,42.5,88.51,88.51,88.51,88.51,93.5,93.5,93.5,93.5,83.93,83.93,83.93,83.93,74,74,74,74,76,76,76,76,94,94,94,94,69.6,69.6,69.6,69.6,94.96,94.96,94.96,94.96,150,150,150,150,90.02,90.02,90.02,90.02,137.5,137.5,137.5,137.5,100.6,100.6,100.6,100.6,88.01,88.01,88.01,88.01
44,43,71.95,55.56,6,0,0,0,0,1,1,1,0,0,0,1,0,0,10,,13.67,37.67,0,0,59.17,58.07,10,62.5,66.67,100,75,75,68.17,68.07,47.67,22.17,20.5,17.67,84.31,100,73.88,87.5,82.2,40,40,40,40,71.33,71.33,71.33,71.33,68.17,68.17,68.17,68.17,68.07,68.07,68.07,68.07,47.67,47.67,47.67,47.67,88.67,88.67,88.67,88.67,82,82,82,82,70.68,70.68,70.68,70.68,84.31,84.31,84.31,84.31,100,100,100,100,73.88,73.88,73.88,73.88,87.5,87.5,87.5,87.5,82.2,82.2,82.2,82.2,69.43,69.43,69.43,69.43
45,44,100,100,4,1,1,0,1,1,4,0,1,1,1,4,1,2,14,,16,40.84,1,1,78.9,57.6,10,100,100,100,100,100,90.9,76.6,54.83,19.3,22.5,19,96.94,150,93.91,237.5,100.6,70,70,70,70,91.06,91.06,91.06,91.06,90.9,90.9,90.9,90.9,76.6,76.6,76.6,76.6,54.83,54.83,54.83,54.83,77.2,77.2,77.2,77.2,90,90,90,90,76,76,76,76,96.94,96.94,96.94,96.94,150,150,150,150,93.91,93.91,93.91,93.91,237.5,237.5,237.5,237.5,100.6,100.6,100.6,100.6,84.78,84.78,84.78,84.78
46,45,31.94,22.22,6,0.5,0,0,0,0,0.5,0,1.75,0,0,3.75,0,2,10,,18.47,86.33,0,0,77.67,78.17,10,37.5,0,50,50,50,86.17,90.92,96.33,24.5,21,21.47,90.7,150,97.55,87.5,94.6,51.25,51.25,51.25,51.25,49.77,49.77,49.77,49.77,86.17,86.17,86.17,86.17,90.92,90.92,90.92,90.92,96.33,96.33,96.33,96.33,98,98,98,98,84,84,84,84,85.88,85.88,85.88,85.88,90.7,90.7,90.7,90.7,150,150,150,150,97.55,97.55,97.55,97.55,87.5,87.5,87.5,87.5,94.6,94.6,94.6,94.6,92.63,92.63,92.63,92.63
47,46,5,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,8.87,47.75,0,0,56.17,43.6,10,25,0,0,0,0,64.17,52.6,57.75,19.33,19,11.87,95.94,150,77.41,0,80,28.33,28.33,28.33,28.33,18.98,18.98,18.98,18.98,64.17,64.17,64.17,64.17,52.6,52.6,52.6,52.6,57.75,57.75,57.75,57.75,77.33,77.33,77.33,77.33,76,76,76,76,47.48,47.48,47.48,47.48,95.94,95.94,95.94,95.94,150,150,150,150,77.41,77.41,77.41,77.41,0,0,0,0,80,80,80,80,65.68,65.68,65.68,65.68
48,47,94.44,88.89,6,1,1,0,0,1,3,0,1,1,0,4,0,2,7,,15.5,51.83,1,0,61.17,65.27,6,100,83.33,100,100,100,72.17,78.27,58.83,24,22,18.5,93.96,87.5,89.17,87.5,88.1,65,65,65,65,86.73,86.73,86.73,86.73,72.17,72.17,72.17,72.17,78.27,78.27,78.27,78.27,58.83,58.83,58.83,58.83,96,96,96,96,88,88,88,88,74,74,74,74,93.96,93.96,93.96,93.96,87.5,87.5,87.5,87.5,89.17,89.17,89.17,89.17,87.5,87.5,87.5,87.5,88.1,88.1,88.1,88.1,77.24,77.24,77.24,77.24
49,48,31.11,55.56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,11,45.5,0,0,85.67,57.33,10,50,0,0,50,100,93.67,74.33,55.5,21,22.5,15,93.94,100,93.11,137.5,100.6,30,30,30,30,49.72,49.72,49.72,49.72,93.67,93.67,93.67,93.67,74.33,74.33,74.33,74.33,55.5,55.5,55.5,55.5,84,84,84,84,90,90,90,90,60,60,60,60,93.94,93.94,93.94,93.94,100,100,100,100,93.11,93.11,93.11,93.11,137.5,137.5,137.5,137.5,100.6,100.6,100.6,100.6,81.29,81.29,81.29,81.29
50,49,87.78,55.56,6,1,1,0,1,0,3,0,2,1,0,5,1,2,1,,19.07,57,0,0,65.73,82.74,0,100,83.33,100,100,100,76.73,96.73,58,21.83,17.5,22.07,90.42,150,94.5,175,99.7,75,75,75,75,88.99,88.99,88.99,88.99,76.73,76.73,76.73,76.73,96.73,96.73,96.73,96.73,58,58,58,58,87.32,87.32,87.32,87.32,70,70,70,70,88.28,88.28,88.28,88.28,90.42,90.42,90.42,90.42,150,150,150,150,94.5,94.5,94.5,94.5,175,175,175,175,99.7,99.7,99.7,99.7,85,85,85,85
51,50,35.83,0,6.67,0,1,0,1,0,2,0,0,0,0,0,0,0,0,,4,35.17,0,0,74,65.17,0,62.5,66.67,50,0,0,84,74.17,35.17,13.33,18.5,7,94,87.5,94.81,125,100,43.33,43.33,43.33,43.33,44.84,44.84,44.84,44.84,84,84,84,84,74.17,74.17,74.17,74.17,35.17,35.17,35.17,35.17,53.33,53.33,53.33,53.33,74,74,74,74,28,28,28,28,94,94,94,94,87.5,87.5,87.5,87.5,94.81,94.81,94.81,94.81,125,125,125,125,100,100,100,100,70.9,70.9,70.9,70.9
52,51,24.44,22.22,7,1,0,0,0,0,1,0,0,0,0,0,1,0,11,,21.47,79.83,0,0,87,76.47,10,66.67,33.33,0,0,50,96,85.47,90.83,22.83,23.5,24.47,92.01,100,92.77,100,95.8,45,45,45,45,45.56,45.56,45.56,45.56,96,96,96,96,85.47,85.47,85.47,85.47,90.83,90.83,90.83,90.83,91.32,91.32,91.32,91.32,94,94,94,94,97.88,97.88,97.88,97.88,92.01,92.01,92.01,92.01,100,100,100,100,92.77,92.77,92.77,92.77,100,100,100,100,95.8,95.8,95.8,95.8,92.26,92.26,92.26,92.26
53,52,57.5,33.33,6,0,0,0,0,0,0,1,0,0,0,2,0,1,9.5,,25,67.07,0,0,87,67.93,9.5,87.5,66.67,100,0,0,95,78.93,76.57,22,26,28,97.41,100,89.82,87.5,94.6,40,40,40,40,58.96,58.96,58.96,58.96,95,95,95,95,78.93,78.93,78.93,78.93,76.57,76.57,76.57,76.57,88,88,88,88,104,104,104,104,112,112,112,112,97.41,97.41,97.41,97.41,100,100,100,100,89.82,89.82,89.82,89.82,87.5,87.5,87.5,87.5,94.6,94.6,94.6,94.6,88.78,88.78,88.78,88.78
54,53,93.33,66.67,6,1,1,1,1,1,5,1,1.5,1,1,5.5,0,2,12,,25,72.97,1,0,85.83,87.93,10,100,100,100,100,100,98.83,102.43,84.97,24.17,27,28,93.46,200,94.13,87.5,98.6,87.5,87.5,87.5,87.5,96.3,96.3,96.3,96.3,98.83,98.83,98.83,98.83,102.43,102.43,102.43,102.43,84.97,84.97,84.97,84.97,96.68,96.68,96.68,96.68,108,108,108,108,112,112,112,112,93.46,93.46,93.46,93.46,200,200,200,200,94.13,94.13,94.13,94.13,87.5,87.5,87.5,87.5,98.6,98.6,98.6,98.6,98.86,98.86,98.86,98.86
55,54,69.44,88.89,6,0,0,0,0,0,0,1,0,0,0,1,0,0,10,,22,40,0,0,39.83,66.54,10,33.33,50,100,75,50,47.83,76.53,50,17,16.5,25,79.26,100,86.88,75,97.4,35,35,35,35,59.82,59.82,59.82,59.82,47.83,47.83,47.83,47.83,76.53,76.53,76.53,76.53,50,50,50,50,68,68,68,68,66,66,66,66,100,100,100,100,79.26,79.26,79.26,79.26,100,100,100,100,86.88,86.88,86.88,86.88,75,75,75,75,97.4,97.4,97.4,97.4,68.52,68.52,68.52,68.52
56,55,77.5,66.67,7,0.5,1,0,0,1,2.5,1,1,1,1,5,1,2,12,,10.67,63.57,0,0,81,79.13,10,62.5,83.33,100,75,75,91.5,93.13,75.57,17.67,27,13.67,95.71,50,95.88,75,99.1,82.5,82.5,82.5,82.5,79.71,79.71,79.71,79.71,91.5,91.5,91.5,91.5,93.13,93.13,93.13,93.13,75.57,75.57,75.57,75.57,70.68,70.68,70.68,70.68,108,108,108,108,54.68,54.68,54.68,54.68,95.71,95.71,95.71,95.71,50,50,50,50,95.88,95.88,95.88,95.88,75,75,75,75,99.1,99.1,99.1,99.1,86.56,86.56,86.56,86.56
57,56,80,66.67,6,0,1,1,0,0,2,0,0,0,0,1,0,1,10,,4.33,57.33,0,0,68.67,86.17,10,91.67,66.67,75,100,50,78.67,96.17,67.33,22.67,22,7.33,96.1,100,95,75,98.6,45,45,45,45,77.21,77.21,77.21,77.21,78.67,78.67,78.67,78.67,96.17,96.17,96.17,96.17,67.33,67.33,67.33,67.33,90.67,90.67,90.67,90.67,88,88,88,88,29.32,29.32,29.32,29.32,96.1,96.1,96.1,96.1,100,100,100,100,95,95,95,95,75,75,75,75,98.6,98.6,98.6,98.6,82.61,82.61,82.61,82.61
58,57,58.61,22.22,5,1,0,1,0,1,3,0,0,1,0,1,0,0,10,,17.27,55,0,0,75,43.93,10,62.5,83.33,100,25,0,86,53.93,65,21,18,20.27,93.22,100,90.2,75,94.7,45,45,45,45,56.3,56.3,56.3,56.3,86,86,86,86,53.93,53.93,53.93,53.93,65,65,65,65,84,84,84,84,72,72,72,72,81.08,81.08,81.08,81.08,93.22,93.22,93.22,93.22,100,100,100,100,90.2,90.2,90.2,90.2,75,75,75,75,94.7,94.7,94.7,94.7,75.81,75.81,75.81,75.81
59,58,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,64,0,0,0,0,0,0,0,72,0,0,25,0,0,35.11,25,17.71,0,0,30,30,30,30,9.01,9.01,9.01,9.01,72,72,72,72,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,35.11,35.11,35.11,35.11,25,25,25,25,17.71,17.71,17.71,17.71,0,0,0,0,0,0,0,0,23.6,23.6,23.6,23.6
60,59,85.56,77.78,5,0,1,0,0,1,2,1,0,0.67,1,2.67,0,1,12,,12.07,34.33,0,1,31.5,52.34,10,100,100,100,50,100,41.5,64,46.33,21.67,20.5,15.07,92,100,85.81,237.5,97.6,53.33,53.33,53.33,53.33,76.6,76.6,76.6,76.6,41.5,41.5,41.5,41.5,64,64,64,64,46.33,46.33,46.33,46.33,86.67,86.67,86.67,86.67,82,82,82,82,60.28,60.28,60.28,60.28,92,92,92,92,100,100,100,100,85.81,85.81,85.81,85.81,237.5,237.5,237.5,237.5,97.6,97.6,97.6,97.6,67.84,67.84,67.84,67.84
61,60,100,100,5,0.5,1,1,0,1,3.5,0,0,1,0,3,1,2,13,,18,65.08,1,1,83.17,77.14,10,100,100,100,100,100,94.67,89.13,78.08,22.17,20.5,24.5,94.76,150,98.12,87.5,99.1,62.5,62.5,62.5,62.5,94.41,94.41,94.41,94.41,94.67,94.67,94.67,94.67,89.13,89.13,89.13,89.13,78.08,78.08,78.08,78.08,88.68,88.68,88.68,88.68,82,82,82,82,98,98,98,98,94.76,94.76,94.76,94.76,150,150,150,150,98.12,98.12,98.12,98.12,87.5,87.5,87.5,87.5,99.1,99.1,99.1,99.1,91,91,91,91
62,61,73.33,100,5,0,0,0,0,0,0,0,1,0,0,3,1,2,13,,18,70.33,1,1,91,69.17,10,50,66.67,50,100,100,99,81.17,83.33,21.67,27,21,93.32,100,89,100,96.8,45,45,45,45,75.61,75.61,75.61,75.61,99,99,99,99,81.17,81.17,81.17,81.17,83.33,83.33,83.33,83.33,86.67,86.67,86.67,86.67,108,108,108,108,84,84,84,84,93.32,93.32,93.32,93.32,100,100,100,100,89,89,89,89,100,100,100,100,96.8,96.8,96.8,96.8,90.17,90.17,90.17,90.17
63,62,56.11,22.22,5,0,0,0,1,0,1,0,1,1,0,3,0,1,10,,9.07,23.83,0,0,58,62.13,10,25,33.33,100,100,50,67,74.13,33.83,9,9.5,12.07,91.26,100,89.56,125,100.6,45,45,45,45,61.76,61.76,61.76,61.76,67,67,67,67,74.13,74.13,74.13,74.13,33.83,33.83,33.83,33.83,36,36,36,36,38,38,38,38,48.28,48.28,48.28,48.28,91.26,91.26,91.26,91.26,100,100,100,100,89.56,89.56,89.56,89.56,125,125,125,125,100.6,100.6,100.6,100.6,65.31,65.31,65.31,65.31
64,63,81.67,33.33,6,1,0,1,0,1,3,1,1.3,1,0,5.3,1,2,11,,5.6,39.5,0,0,81.33,67.33,10,100,100,100,75,75,92.33,87.63,50.5,21.67,18,8.6,93.94,150,88.24,237.5,83.6,76.5,76.5,76.5,76.5,85.73,85.73,85.73,85.73,92.33,92.33,92.33,92.33,87.63,87.63,87.63,87.63,50.5,50.5,50.5,50.5,86.67,86.67,86.67,86.67,72,72,72,72,34.4,34.4,34.4,34.4,93.94,93.94,93.94,93.94,150,150,150,150,88.24,88.24,88.24,88.24,237.5,237.5,237.5,237.5,83.6,83.6,83.6,83.6,82.1,82.1,82.1,82.1
65,64,87.5,100,4.67,0.5,1,0,0,0,1.5,0,0,0,0,1,1,1,13,,4.33,21.42,1,1,83.67,62.4,10,87.5,100,100,50,100,93.17,68.4,34.42,12.17,19.5,8.33,90.02,62.5,89.1,150,93.6,40.83,40.83,40.83,40.83,83.6,83.6,83.6,83.6,93.17,93.17,93.17,93.17,68.4,68.4,68.4,68.4,34.42,34.42,34.42,34.42,48.67,48.67,48.67,48.67,78,78,78,78,33.32,33.32,33.32,33.32,90.02,90.02,90.02,90.02,62.5,62.5,62.5,62.5,89.1,89.1,89.1,89.1,150,150,150,150,93.6,93.6,93.6,93.6,70.54,70.54,70.54,70.54
66,65,26.67,0,7,1,1,0,0.5,0,2.5,0,0.25,0,1,0.25,0,0,11,,16,66.33,0,0,73.17,59.93,10,75,33.33,0,25,0,83.67,69.18,77.33,24.5,21.5,19,95,100,90.27,87.5,100.3,53.75,53.75,53.75,53.75,38.93,38.93,38.93,38.93,83.67,83.67,83.67,83.67,69.18,69.18,69.18,69.18,77.33,77.33,77.33,77.33,98,98,98,98,86,86,86,86,76,76,76,76,95,95,95,95,100,100,100,100,90.27,90.27,90.27,90.27,87.5,87.5,87.5,87.5,100.3,100.3,100.3,100.3,82.78,82.78,82.78,82.78
67,66,0,0,5,1,0,0,0.5,0,1.5,0,1,1,0,2,1,0,12,,13.2,36.25,1,0,67.67,43.2,10,0,0,0,0,0,77.17,54.2,48.25,19.33,17.5,16.2,83.72,50,91.27,87.5,92.1,47.5,47.5,47.5,47.5,17.02,17.02,17.02,17.02,77.17,77.17,77.17,77.17,54.2,54.2,54.2,54.2,48.25,48.25,48.25,48.25,77.33,77.33,77.33,77.33,70,70,70,70,64.8,64.8,64.8,64.8,83.72,83.72,83.72,83.72,50,50,50,50,91.27,91.27,91.27,91.27,87.5,87.5,87.5,87.5,92.1,92.1,92.1,92.1,67.98,67.98,67.98,67.98
68,67,86.94,88.89,7,0.5,1,1,0,1,3.5,0,1.75,0,0,3.75,1,2,13,,19.07,50.5,1,1,84.23,85.17,10,87.5,83.33,75,100,100,95.73,97.92,63.5,23.67,23,22.07,90.31,100,90.43,62.5,100.6,76.25,76.25,76.25,76.25,88.06,88.06,88.06,88.06,95.73,95.73,95.73,95.73,97.92,97.92,97.92,97.92,63.5,63.5,63.5,63.5,94.68,94.68,94.68,94.68,92,92,92,92,88.28,88.28,88.28,88.28,90.31,90.31,90.31,90.31,100,100,100,100,90.43,90.43,90.43,90.43,62.5,62.5,62.5,62.5,100.6,100.6,100.6,100.6,88.12,88.12,88.12,88.12
69,68,7.5,0,7,0.5,1,0,0,0,1.5,0,0,0,0,0,0,0,10,,14.67,42.5,0,0,47.5,74,10,37.5,0,0,0,0,57,83,52.5,21.67,12.5,17.67,63.86,87.5,39.55,12.5,85.8,42.5,42.5,42.5,42.5,23.8,23.8,23.8,23.8,57,57,57,57,83,83,83,83,52.5,52.5,52.5,52.5,86.67,86.67,86.67,86.67,50,50,50,50,70.68,70.68,70.68,70.68,63.86,63.86,63.86,63.86,87.5,87.5,87.5,87.5,39.55,39.55,39.55,39.55,12.5,12.5,12.5,12.5,85.8,85.8,85.8,85.8,64.11,64.11,64.11,64.11
70,69,73.33,66.67,5.67,0.5,1,0,0,0,1.5,0,0,0,1,2,0,2,12,,11.4,61.83,1,0,73.07,79.27,10,100,100,50,50,100,82.57,90.27,73.83,25,24,14.4,92.76,150,97.22,87.5,100.6,50.83,50.83,50.83,50.83,79.2,79.2,79.2,79.2,82.57,82.57,82.57,82.57,90.27,90.27,90.27,90.27,73.83,73.83,73.83,73.83,100,100,100,100,96,96,96,96,57.6,57.6,57.6,57.6,92.76,92.76,92.76,92.76,150,150,150,150,97.22,97.22,97.22,97.22,87.5,87.5,87.5,87.5,100.6,100.6,100.6,100.6,87.1,87.1,87.1,87.1
71,70,86.11,88.89,5.67,1,1,0,0,0,2,0,1.5,0,1,3.5,0,2,12,,21,75.33,1,0,83.34,87.13,10,75,66.67,100,100,100,93.33,99.63,87.33,21.17,22,24,100,150,95.02,137.5,93.7,60.83,60.83,60.83,60.83,87.63,87.63,87.63,87.63,93.33,93.33,93.33,93.33,99.63,99.63,99.63,99.63,87.33,87.33,87.33,87.33,84.68,84.68,84.68,84.68,88,88,88,88,96,96,96,96,100,100,100,100,150,150,150,150,95.02,95.02,95.02,95.02,137.5,137.5,137.5,137.5,93.7,93.7,93.7,93.7,95.45,95.45,95.45,95.45
72,71,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,19,59.67,0,0,79.67,75.93,10,0,0,0,0,0,87.67,84.93,69.67,21.5,24,22,95.16,100,91.45,100,97.6,35,35,35,35,23.32,23.32,23.32,23.32,87.67,87.67,87.67,87.67,84.93,84.93,84.93,84.93,69.67,69.67,69.67,69.67,86,86,86,86,96,96,96,96,88,88,88,88,95.16,95.16,95.16,95.16,100,100,100,100,91.45,91.45,91.45,91.45,100,100,100,100,97.6,97.6,97.6,97.6,85.85,85.85,85.85,85.85
73,72,37.5,33.33,5,1,1,0,0,0,2,0,1.25,0,0,1.25,0,0,11,,6.33,48.63,1,0,53.33,39.67,10,29.17,0,25,100,25,63.33,49.92,59.63,8.83,11,9.33,30.86,75,98.01,87.5,82.6,41.25,41.25,41.25,41.25,39.74,39.74,39.74,39.74,63.33,63.33,63.33,63.33,49.92,49.92,49.92,49.92,59.63,59.63,59.63,59.63,35.33,35.33,35.33,35.33,44,44,44,44,37.32,37.32,37.32,37.32,30.86,30.86,30.86,30.86,75,75,75,75,98.01,98.01,98.01,98.01,87.5,87.5,87.5,87.5,82.6,82.6,82.6,82.6,58.46,58.46,58.46,58.46
74,73,15.83,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.27,45.83,0,0,44,65.6,0,62.5,16.67,0,0,0,52,74.6,45.83,0,17.5,14.27,96.94,100,93.08,87.5,90.6,35,35,35,35,26.59,26.59,26.59,26.59,52,52,52,52,74.6,74.6,74.6,74.6,45.83,45.83,45.83,45.83,0,0,0,0,70,70,70,70,57.08,57.08,57.08,57.08,96.94,96.94,96.94,96.94,100,100,100,100,93.08,93.08,93.08,93.08,87.5,87.5,87.5,87.5,90.6,90.6,90.6,90.6,64.23,64.23,64.23,64.23
75,74,83.89,44.44,6,0,1,0,0,1,2,1,1,0,0,2,0,0,11,,14.67,26.83,1,0,80,44.6,10,100,100,75,100,50,90,66.2,37.83,24.5,21,17.67,94.21,150,84.21,125,94.2,50,50,50,50,78.82,78.82,78.82,78.82,90,90,90,90,66.2,66.2,66.2,66.2,37.83,37.83,37.83,37.83,98,98,98,98,84,84,84,84,70.68,70.68,70.68,70.68,94.21,94.21,94.21,94.21,150,150,150,150,84.21,84.21,84.21,84.21,125,125,125,125,94.2,94.2,94.2,94.2,76.02,76.02,76.02,76.02
76,75,88.06,77.78,7,0,1,1,0,0,2,0,1.5,0.33,1,2.83,1,1,14,,22.6,71.03,1,1,92.67,78.47,10,87.5,100,100,75,100,102.67,90.3,85.03,19.67,17.5,25.6,92.56,150,97.16,75,100.6,69.17,69.17,69.17,69.17,90.65,90.65,90.65,90.65,102.67,102.67,102.67,102.67,90.3,90.3,90.3,90.3,85.03,85.03,85.03,85.03,78.68,78.68,78.68,78.68,70,70,70,70,102.4,102.4,102.4,102.4,92.56,92.56,92.56,92.56,150,150,150,150,97.16,97.16,97.16,97.16,75,75,75,75,100.6,100.6,100.6,100.6,92.98,92.98,92.98,92.98
77,76,100,100,5,0.5,0,1,1,1,3.5,1,0.4,1,0,4.4,1,2,11,,19.2,49.67,0,0,90.84,77.27,10,100,100,100,100,100,102.33,90.67,60.67,22.67,24.5,22.2,90.62,75,88,87.5,100.6,69.5,69.5,69.5,69.5,95.51,95.51,95.51,95.51,102.33,102.33,102.33,102.33,90.67,90.67,90.67,90.67,60.67,60.67,60.67,60.67,90.68,90.68,90.68,90.68,98,98,98,98,88.8,88.8,88.8,88.8,90.62,90.62,90.62,90.62,75,75,75,75,88,88,88,88,87.5,87.5,87.5,87.5,100.6,100.6,100.6,100.6,87.4,87.4,87.4,87.4
78,77,80.83,66.67,5,0.5,1,0,0,1,2.5,0,0,0,1,2,1,2,12,,14,37,0,0,58,53.63,10,87.5,100,100,50,100,68.5,64.63,49,17.83,20,17,91.62,87.5,85.87,100,95.9,57.5,57.5,57.5,57.5,78.75,78.75,78.75,78.75,68.5,68.5,68.5,68.5,64.63,64.63,64.63,64.63,49,49,49,49,71.32,71.32,71.32,71.32,80,80,80,80,68,68,68,68,91.62,91.62,91.62,91.62,87.5,87.5,87.5,87.5,85.87,85.87,85.87,85.87,100,100,100,100,95.9,95.9,95.9,95.9,70.28,70.28,70.28,70.28
